,Chords,Notes,Degrees
116,Caugb9,"['do', 'mi', 'sols', 'las', 'dos']","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
117,Caugb79,"['do', 'mi', 'sols', 'la', 're']","[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
118,Caugb7b9,"['do', 'mi', 'sols', 'la', 'dos']","[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
119,Caug7b9,"['do', 'mi', 'sols', 'las', 'dos']","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
120,Caug7sus2,"['do', 'mi', 'sols', 'do', 're', 'sol', 'las']","[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0]"
121,Caugmaj7sus2,"['do', 'mi', 'sols', 'do', 're', 'sol', 'si']","[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
122,Caug7sus4,"['do', 'mi', 'sols', 'do', 'mis', 'sol', 'las']","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
123,Caugmaj7sus4,"['do', 'mi', 'sols', 'do', 'mis', 'sol', 'si']","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
124,Caugadd9,"['do', 'mi', 'sols', 're']","[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
125,Caugadd11,"['do', 'mi', 'sols', 'mis']","[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
126,Caugadd13,"['do', 'mi', 'sols', 'la']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
127,Caug11s,"['do', 'mi', 'sols', 'las', 're', 'fas']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
128,Caug11b9,"['do', 'mi', 'sols', 'las', 'dos', 'mis']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
129,Caugmajs911s,"['do', 'mi', 'sols', 'si', 'res', 'fas']","[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
130,Caugb711b9,"['do', 'mi', 'sols', 'la', 'dos', 'mis']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
131,Caugmaj11,"['do', 'mi', 'sols', 'si', 're', 'mis']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
132,Caugmaj911s,"['do', 'mi', 'sols', 'si', 're', 'fas']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
133,Caug11,"['do', 'mi', 'sols', 'las', 're', 'mis']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
134,Caugb11b9,"['do', 'mi', 'sols', 'las', 'dos', 'mi']","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
135,Caug13b11b9b,"['do', 'mi', 'sols', 'las', 'dos', 'mi', 'sols']","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
136,Caug13b9,"['do', 'mi', 'sols', 'las', 'dos', 'mis', 'la']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
137,Caug1311s,"['do', 'mi', 'sols', 'las', 're', 'fas', 'la']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]"
138,Caug13b,"['do', 'mi', 'sols', 'las', 're', 'mis', 'sols']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
139,Caugmaj13b,"['do', 'mi', 'sols', 'si', 're', 'mis', 'sols']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
140,Caug13bb9,"['do', 'mi', 'sols', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
141,Caugmaj13s911s,"['do', 'mi', 'sols', 'si', 'res', 'fas', 'la']","[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1]"
142,Caugb713b9,"['do', 'mi', 'sols', 'la', 'dos', 'mis', 'sols']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
143,Caugmaj13,"['do', 'mi', 'sols', 'si', 're', 'mis', 'la']","[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
144,Caugmaj1311s,"['do', 'mi', 'sols', 'si', 're', 'fas', 'la']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
